date_creation,activite,nom,raison_sociale,commune,cp,adresse,dirigeant,siret,mois_ouverture
2025-09-18,Restauration rapide,PIZZA STREET'ART,PIZZA STREET'ART,Melun,77000,31 BOULEVARD DE L'ALMONT 77000 MELUN,NOUREDINE HOCINE,99154879300017,10
2025-09-03,Restauration rapide,SUSHI PARIS SUD,SUSHI PARIS SUD,Villiers-En-Biere,77190,CARREFOUR VILLIERS EN BIERE ROUTE NATIONALE 7 77190 VILLIERS-EN-BIERE,CUONG TRAN KIEN (TRAN KIEN),85210478500054,11
2025-09-01,Boulangerie-patisserie,DU PAIN ET DU SON,DU PAIN ET DU SON,Moret-Loing-Et-Orvanne,77250,32 ALLEE FREDEGONDE 77250 MORET-LOING-ET-ORVANNE,EMILY ROMOND,99151810100019,11
2025-09-01,Restauration rapide,SALSA BABOU,SALSA BABOU,Saint-Pierre-Les-Nemours,77140,14 RUE DU CLOS SAINT-JEAN 77140 SAINT-PIERRE-LES-NEMOURS,NACEUR LETAIEF,99208483000015,11
2025-09-01,Restauration rapide,CROUSTIZ,CROUSTIZ,Dammarie-Les-Lys,77190,10 AVENUE HENRI BARBUSSE 77190 DAMMARIE-LES-LYS,RACHID GUEBLAOUI,94532447300012,11
2025-09-01,Restauration rapide,JOACHIM MARIE-ROSE (KAZ'A MANU),JOACHIM MARIE-ROSE (KAZ'A MANU),Dammarie Les Lys,77190,43 AVENUE DU MARECHAL FOCH 77190 DAMMARIE LES LYS,JOACHIM EMMANUEL MARIE-ROSE,31278426700105,11
2025-09-01,Restauration rapide,SUSHI DELIVERY MELUN,SUSHI DELIVERY MELUN,Melun,77000,13 RUE RENE POUTEAU 77000 MELUN,", ",99117093700015,11
2025-09-01,Traiteur,LAURIANE GUIMARAES,LAURIANE GUIMARAES,Livry-Sur-Seine,77000,5 RUE DE LA FOLIE 77000 LIVRY-SUR-SEINE,LAURIANE GUIMARAES,99060199900016,11
2025-09-01,Traiteur,ELYSE MANCINI (MAISON FRUGGI),ELYSE MANCINI (MAISON FRUGGI),Gironville-Sur-Essonne,91720,LE PETIT GIRONVILLE 3 B RUE DE L'ESSONNE 91720 GIRONVILLE-SUR-ESSONNE,ELYSE MARIE MANCINI,80175401100030,11
2025-08-29,Restaurant traditionnel,COULEURS D'ICI,COULEURS D'ICI,Noisy-Sur-Ecole,77123,7 RUE D'AUVERS 77123 NOISY-SUR-ECOLE,"LAETITIA MATHIEZ, GREGOIRE PERRIET",83290126800041,11
2025-08-26,Restauration rapide,AMICIA,AMICIA,Nemours,77140,30-32 RUE GAUTIER 1ER 77140 NEMOURS,ALI ANZAR,84165344700059,11
2025-08-21,Restauration rapide,HOME FIT CLUB (HFC) (HFC),HOME FIT CLUB (HFC) (HFC),Villiers-Sous-Grez,77760,4 RUE DE L'EGLISE 77760 VILLIERS-SOUS-GREZ,YVES ANTOINE MORISSEAU,99050548900015,11
2025-08-21,Restauration rapide,TISA,TISA,Cesson,77240,CENTRE COMMERCIAL CESSON LA FORET RUE DES ORMES 77240 CESSON,ACHRAF ICHOUI,99047651700018,11
2025-08-20,Restaurant traditionnel,GGB,GGB,Bois-Le-Roi,77590,92 AVENUE FOCH 77590 BOIS-LE-ROI,"THOMAS ALEXANDRE BAPTISTE BRIANDET, KEVIN PATRICK ALBERT GRANGER",93364982400028,11
2025-08-18,Restauration rapide,SUSHI BLO,SUSHI BLO,Fontainebleau,77300,2 RUE GABRIEL FOURNIER 77300 FONTAINEBLEAU,JANNATUL SHARIFUL ISLAM (FERDOUSI),99473212100011,11
2025-08-01,Boulangerie-patisserie,AUX DELICES DE VENEUX,AUX DELICES DE VENEUX,Moret-Loing-Et-Orvanne,77250,85 AVENUE DE FONTAINEBLEAU 77250 MORET-LOING-ET-ORVANNE,KHALED SELMI,98992687800012,12
2025-07-31,Restauration rapide,ASMAA BOUKORTT (TAHRAOUI) (LES DELICES DE CHARTRETTES),ASMAA BOUKORTT (TAHRAOUI) (LES DELICES DE CHARTRETTES),Chartrettes,77590,46 RUE GEORGES CLEMENCEAU 77590 CHARTRETTES,ASMAA BOUKORTT (TAHRAOUI),98857711000014,12
2025-07-31,Restauration rapide,FATIYAM FOOD,FATIYAM FOOD,Melun,77000,18 RUE SAINT ASPAIS 77000 MELUN,FATIMA HAMLIL,94453239900028,12
2025-07-28,Restauration rapide,PAPO TI AMO,PAPO AND CO,Fontainebleau,77300,10 RUE DES SABLONS 77300 FONTAINEBLEAU,"DAVID DA FONSECA, GABIN DA FONSECA-GIRARD (DA FONSECA)",98838956500025,12
2025-07-23,Boulangerie-patisserie,DUO,DUO,Milly-La-Foret,91490,4 PLACE DU MARCHE 91490 MILLY-LA-FORET,"SYLVIE NADINE PAULE HERRMANN (DELAIRE), JOHAN RÉGIS HERRMANN",98821762600031,12
2025-07-22,Bar / debit de boissons,HISTOIRE DE FAMILLE,HISTOIRE DE FAMILLE,Barbizon,77630,31 GRANDE RUE 77630 BARBIZON,JULIEN HENRI JEAN JAUSSAUD-LODATO (JAUSSAUD),98954206300015,12
2025-07-21,Restauration rapide,FRANCO PIZZA,SAPORI DI FRANCO,Melun,77000,14 ROUTE DE MONTEREAU 77000 MELUN,KAJENDRAN PALANINATHAN,98887320400024,12
2025-07-15,Traiteur,LE CLOS INATTENDU,LE CLOS INATTENDU,Barbizon,77630,6 PLACE DE L'ANGELUS 77630 BARBIZON,MARIA FERNANDA AUGUIN (COSTA MONTEIRO),99967145600013,12
2025-07-08,Restaurant traditionnel,L'ALIZEE,L'ALIZEE,Maisse,91720,9 RUE DE LA FERTE ALAIS 91720 MAISSE,MARION LAMARQUE,98921600700017,13
2025-07-04,Restaurant traditionnel,RESTAURANT EL PARMIGIANO,RESTAURANT EL PARMIGIANO,Melun,77000,1 B RUE GUY BAUDOIN 77000 MELUN,YACINE LOUATI,98905868000012,13
2025-07-01,Restauration rapide,LE SEPT 7,LE SEPT 7 FONTAINEBLEAU,Fontainebleau,77300,14 BOULEVARD DAMESNE 77300 FONTAINEBLEAU,ALIM UDDIN MUHAMMED,98817502200017,13
2025-07-01,Restauration rapide,PLAY'N'SNACK,PLAY'N'SNACK,Avon,77210,1 RUE DES SAPINS 77210 AVON,CYRIL COURBE,98850532700029,13
2025-07-01,Restaurant traditionnel,RESTOCOLOMIERS,RESTOCOLOMIERS,Chartrettes,77590,64 RUE DES CHENES 77590 CHARTRETTES,NICOLAS MAISTRET,95189453400035,13
2025-07-01,Boulangerie-patisserie,L'ARTISAN BOULANGER GOURMAND LABEGE SAS,L'ARTISAN BOULANGER GOURMAND LABEGE SAS,Chartrettes,77590,64 RUE DES CHENES 77590 CHARTRETTES,NICOLAS FRANCOIS ANTOINE MAISTRET,92138901100039,13
2025-07-01,Restauration rapide,STEPHANIE TOUSSAINT (EPICES ET DELICES),STEPHANIE TOUSSAINT (EPICES ET DELICES),Le Vaudoue,77123,2 CHEMIN DE LA CHAUSSEE 77123 LE VAUDOUE,STEPHANIE MINOUCHE TOUSSAINT,51883102900021,13
2025-07-01,Restauration rapide,ELISABETH VANGUI DA SILVA (VANGUI),ELISABETH VANGUI DA SILVA (VANGUI),Melun,77000,12 RUE ROBERT SCHUMAN 77000 MELUN,ELISABETH VANGUI DA SILVA,94464953200016,13
2025-07-01,Restauration rapide,O'KARTIER,O'KARTIER,Melun,77000,9 AVENUE DU GENERAL PATTON 77000 MELUN,JEMAA BEN SASSI,98860113400014,13
2025-07-01,Restauration rapide,ARANYA PHADUNGKOMED (HYM A ROI),ARANYA PHADUNGKOMED (HYM A ROI),Melun,77000,41 G AVENUE DE CORBEIL 77000 MELUN,ARANYA PHADUNGKOMED,98816856300019,13
2025-06-30,Boulangerie-patisserie,BOULANGERIE DE L'ATELIER DU PAIN DE MELUN,BOULANGERIE DE L'ATELIER DU PAIN DE MELUN,Melun,77000,13 RUE DU GENERAL DE GAULLE 77000 MELUN,FIRAS NACEUR,98978341000016,13
2025-06-20,Restaurant traditionnel,BISTROT D'ACHERES,BISTROT D'ACHERES,Acheres-La-Foret,77760,2 RUE LAURENT POLI 77760 ACHERES-LA-FORET,CEDRIC LOZE,98854207200018,13
2025-06-06,Restauration rapide,WRAP'IN BLEAU,GURU PREM,Fontainebleau,77300,3 RUE CONVENTIONNEL GEOFFROY 77300 FONTAINEBLEAU,LOKESH SHARMA,98984172100016,14
2025-06-02,Restaurant traditionnel,MAME (MAME),MAME (MAME),Melun,77000,5 RUE DE LA VANNERIE 77000 MELUN,ANTOINE VINCENT CHASSELOUP,95409806700034,14
2025-06-02,Restaurant traditionnel,PIERRE GARAS (GARAS CHEF),PIERRE GARAS (GARAS CHEF),Milly-La-Foret,91490,8 T ROUTE DE BOUTIGNY 91490 MILLY-LA-FORET,PIERRE PAUL GARAS,88022595800029,14
2025-05-28,Boulangerie-patisserie,BOULANGERIE LA MARQUISE,MAMO (BOULANGERIE LA MARQUISE),Melun,77000,BAT 58 42 BOULEVARD DE L'ALMONT 77000 MELUN,LAHOUCINE ZANBOUK,94524214700011,14
2025-05-23,Restaurant traditionnel,LE CAFE DE L'ETAPE,L'ETAPE D'ANTOINE,Fontainebleau,77300,128 RUE GRANDE 77300 FONTAINEBLEAU,ANTOINE PIERRE ROBERT MARCHON,94483052000010,14
2025-05-19,Restaurant traditionnel,MIK'ANGELS,MIK'ANGELS,Milly-La-Foret,91490,4 RUE FARNAULT 91490 MILLY-LA-FORET,"JEAN-MICKAËL GAILLARD, ANGÉLIQUE ODETTE YOLANDE SCHIESARO",93244642000022,14
2025-05-12,Restaurant traditionnel,MOHAMADOU OUMAROU (OUMAROU),MOHAMADOU OUMAROU (OUMAROU),Melun,77000,2 PASSAGE LEBARBIER 77000 MELUN,MOHAMADOU OUMAROU,94417568600012,15
2025-05-10,Restaurant traditionnel,LA PAILLOTTE DU PARC,LA PAILLOTTE DU PARC,Melun,77000,3 RUE DE L'EPERON 77000 MELUN,"THIERRY LEVIEUX, SANDRA CHANTAL GINETTE ELISABETH MURAT",94406939200016,15
2025-05-09,Restaurant traditionnel,PRIMAVERA,CHEZ ALESSANDRA (PRIMAVERA),Melun,77000,20 RUE CARNOT 77000 MELUN,"IGNAZIO GALLO, ALESSANDRA INTERRANTE",94438488200014,15
2025-05-01,Restauration rapide,LE GOUTER DE SOPHIE,ROZO,Bois-Le-Roi,77590,GARE DE BOIS LE ROI PLACE DE LA GARE 77590 BOIS-LE-ROI,,94037928200020,15
2025-05-01,Restauration rapide,RAPID PIZZA PRONTO,HLK (RAPID PIZZA PRONTO),Nemours,77140,48 RUE DE PARIS 77140 NEMOURS,LASSAAD KNIS (KNIS),83045141500020,15
2025-05-01,Restaurant traditionnel,SHINNOSUKE,SHINNOSUKE,Melun,77000,1 RUE VICTOR ROUSSEL 65 RUE DU GENERAL DE GAULLE 77000 MELUN,RUIEN QIU,94307309800015,15
2025-04-28,Restauration rapide,TASTY CROUSTY MELUN,TASTY CROUSTY MELUN (TASTY CROUSTY MELUN),Melun,77000,1 AVENUE DE MEAUX 77000 MELUN,WIEM MOSTAFA AHMED,94357629800013,15
2025-04-21,Boulangerie-patisserie,AU MOULIN DE GAUTIER,AU MOULIN DE GAUTIER,Nemours,77140,7 RUE GAUTIER 1ER 77140 NEMOURS,JAMEL CHEMLALI,94320298600015,15
2025-04-15,Restaurant traditionnel,JWALAMUKHI DALCHINI,JWALAMUKHI DALCHINI,Melun,77000,10 RUE AU LIN 77000 MELUN,"TILAK GURUNG, BEBI TAMANG",94426207000013,15
2025-04-15,Restaurant traditionnel,AKHIBOU SIDIBE (SENSATION),AKHIBOU SIDIBE (SENSATION),Vert-Saint-Denis,77240,3 RUE DE SEINE-PORT 77240 VERT-SAINT-DENIS,AKHIBOU SIDIBÉ,85386408000025,15
2025-04-15,Bar / debit de boissons,LA CONCIERGERIE DE NADEGE,LA CONCIERGERIE DE NADEGE (LCDN),Milly-La-Foret,91490,21 AVENUE DE GANAY 91490 MILLY-LA-FORET,NADEGE BOTCAZOU,95283532000021,15
2025-04-13,Restauration rapide,SUSHI PARVATI,SUSHI PARVATI,Nemours,77140,INTERMARCHE NEMOURS 1 RUE JOSEPH MARIE JACQUARD 77140 NEMOURS,ANJAN KUMAR AIN,94289948500026,16
2025-04-10,Traiteur,SUSHI EVENT (SUSHI EVENT),SUSHI EVENT (SUSHI EVENT),Milly-La-Foret,91490,20 RUE DE LA PORTE AU ROY 91490 MILLY-LA-FORET,XAVIER-ALEXIS BOUET,94330760300010,16
2025-04-09,Boulangerie-patisserie,LES GOURMANDISES VULAINOISES,LES GOURMANDISES VULAINOISES,Vulaines-Sur-Seine,77870,23 RUE RICHE 77870 VULAINES-SUR-SEINE,"FRÉDÉRIC GUY ROGER DELANOUE, AURORE GABY MARCELLE DELANOUE (EMERY)",94341417700015,16
2025-04-07,Restauration rapide,CAFE CASSIOPEE (COFFEE SHOP),CAFE CASSIOPEE (COFFEE SHOP),Melun,77000,1 RUE JACQUES AMYOT 77000 MELUN,ANNIE BUI,94304427100014,16
2025-04-03,Restauration rapide,SULI'FOOD (ORIGINAL TASTE BURGER),SULI'FOOD (ORIGINAL TASTE BURGER),Melun,77000,1 B ROUTE DE NANGIS 77000 MELUN,SULIMAN ASGHAR,94292045500014,16
2025-04-02,Traiteur,MARIE VILASSE (MARIE DELICE),MARIE VILASSE (MARIE DELICE),Fontainebleau,77300,9 RUE DE FERRARE 77300 FONTAINEBLEAU,MARIE CARMEL VILASSE,53133704600027,16
2025-04-02,Restauration rapide,SASU DEL,SASU DEL,Melun,77000,3 RUE JACQUES AMYOT 77000 MELUN,DELPHINE DUYGU TANRIVERDI (YILMAZ),94296478400014,16
2025-04-02,Restauration rapide,SOLEIL PIZZA,SOLEIL PIZZA,Melun,77000,33 RUE RENE POUTEAU 77000 MELUN,AHMED HOCINI,94307797400013,16
2025-04-01,Restauration rapide,GOOD SMASH BURGER,GOOD SMASH BURGER,Fontainebleau,77300,155 RUE GRANDE 77300 FONTAINEBLEAU,BRAHIM RAMI,94218233800015,16
2025-04-01,Traiteur,THI HADJADJ (PHAN) (TLH),THI HADJADJ (PHAN) (TLH),Villecerf,77250,70 RUE GRANDE 77250 VILLECERF,THI KIM THI HADJADJ (PHAN),94153677300018,16
2025-04-01,Traiteur,ANTOINE PHANNAVONG (OMAKASE BY VORADA),ANTOINE PHANNAVONG (OMAKASE BY VORADA),Dammarie-Les-Lys,77190,184 ALLEE VERTE 77190 DAMMARIE-LES-LYS,ANTOINE PHANNAVONG,49500509200020,16
2025-04-01,Restaurant traditionnel,LE 77EME,LE 77EME,Melun,77000,2 PLACE JACQUES AMYOT 77000 MELUN,JEAN-LUC CORDIER,94243585000014,16
2025-04-01,Restauration rapide,DIVA MUKOKO TABU,DIVA MUKOKO TABU,Vert-Saint-Denis,77240,27 RUE DU MILLET 77240 VERT-SAINT-DENIS,DIVA MUKOKO TABU,94272136600014,16
2025-03-31,Restauration rapide,KIOSQUE A PIZZAS,KAP NS,Milly-La-Foret,91490,PARKING CARREFOUR MARKET ROUTE DE MAISSE 91490 MILLY-LA-FORET,NICOLAS HENRI ROBERT SAILLANT,94267286600012,16
2025-03-26,Restauration rapide,SPE MONTCOURT (SPEED EATS),SPE MONTCOURT (SPEED EATS),Montcourt-Fromonville,77140,CENTRE COMMERCIAL DU CHATEAU 2 RUE DU PARC 77140 MONTCOURT-FROMONVILLE,AZIZ ZAGHDOUDI,94264273700012,16
2025-03-21,Traiteur,ANICETE MENDES DA CUNHA GOMES (NHA CABAS EVENEMENTIEL),ANICETE MENDES DA CUNHA GOMES (NHA CABAS EVENEMENTIEL),Darvault,77140,149 B ROUTE DE MONTEREAU 77140 DARVAULT,ANICETE MENDES DA CUNHA GOMES,94136729400019,16
2025-03-21,Restauration rapide,CROUSTY'S,CROUSTY'S,Melun,77000,5 PLACE GALLIENI 77000 MELUN,SOFIANE OUDJAMAA,94419368900014,16
2025-03-17,Restauration rapide,NELYA,NELYA,Bois-Le-Roi,77590,2 AVENUE DE LA FORET 77590 BOIS-LE-ROI,KARIMA ULUCAN (OUISSI),94461981600019,16
2025-03-17,Traiteur,MOHAMMED MJAHID (MJAHID COMPANY),MOHAMMED MJAHID (MJAHID COMPANY),Dammarie-Les-Lys,77190,63 RUE DU 19 MARS 1962 77190 DAMMARIE-LES-LYS,MOHAMMED MJAHID,94206955000013,16
2025-03-14,Bar / debit de boissons,HL RESTAURANT,HL RESTAURANT,Melun,77000,21 RUE PAUL DOUMER 77000 MELUN,HACENE BELAIBOUD,94221030300015,17
2025-03-14,Traiteur,CULTURES ET SAVEURS,CULTURES ET SAVEURS,Cesson,77240,8 PLACE VERNEAU 77240 CESSON,ANNE-GAËLLE ELISABETH TENDA (NAZE),94294923100016,17
2025-03-13,Bar / debit de boissons,SOKKHUN CHHEANG,SOKKHUN CHHEANG,Nemours,77140,16 PLACE DUPONT DE NEMOURS 77140 NEMOURS,SOKKHUN CHHEANG,82403198300029,17
2025-03-13,Restauration rapide,OGLD,OGLD,Cesson,77240,WOODSHOP SHOPPING BOIS SENART ZAC DE LA PLAINE DU MOULIN A VENT 77240 CESSON,"ERIC CARLOS CARDOSO, DRISS TAMCHACHTI",94219322800015,17
2025-03-13,Restauration rapide,OGLD,OGLD,Cesson,77240,WOODSHOP-BOIS SENART ENTREE GAUCHE ZAC DE LA PLAINE DU MOULIN A VEN 77240 CESSON,"ERIC CARLOS CARDOSO, DRISS TAMCHACHTI",94219322800023,17
2025-03-12,Boulangerie-patisserie,LITTLE BREAD BLR,LITTLE BREAD BLR,Bois-Le-Roi,77590,9 AVENUE GALLIENI 77590 BOIS-LE-ROI,JEAN-MICHEL MARC ROBERT FREMONDIERE,94261577400018,17
2025-03-11,Restauration rapide,BBZ (BBZ),BBZ (BBZ),Barbizon,77630,6 ROUTE NATIONALE 7 77630 BARBIZON,VALÉRIE CAROLE JEANNE TOMAKA,97879481600048,17
2025-03-07,Restaurant traditionnel,RK BUSINESS,RK BUSINESS,Saint-Pierre-Les-Nemours,77140,16 RUE DU CLOS SAINT-JEAN 77140 SAINT-PIERRE-LES-NEMOURS,HELENA AMOUR TSIBA MOUSSITA,94372576200018,17
2025-03-07,Restauration rapide,L' ABUELA BRUNI,L' ABUELA BRUNI,Seine-Port,77240,1 RUE DE LA MESSE 77240 SEINE-PORT,LUIS ENRIQUE MILLAN,94216419500011,17
2025-03-04,Restauration rapide,BUBBLE 4A,BUBBLE 4A,Melun,77000,13 RUE SAINT LIESNE 77000 MELUN,DO DANG KHOA HUYNH,94195398600010,17
2025-03-01,Restauration rapide,DOUBLE M,DOUBLE M,Vert-Saint-Denis,77240,37-39 ROUTE DEPARTEMENTALE 306 77240 VERT-SAINT-DENIS,"MOUAZ BEN MADHKOUR, MICKAEL SIHARATH",94121583200010,17
2025-03-01,Restauration rapide,CREPE TOUCH,PAPILLON CESSON,Cesson,77240,ZONE COMMERCIALE WOODSHOP RUE DU MOULIN  Á VENT 77240 CESSON,WILFRIED PATRICK CHRISTOPHE MOUNIÉ,94145137900015,17
2025-03-01,Boulangerie-patisserie,CHEZ BOULES ET MICHES,CHEZ BOULES ET MICHES,Maisse,91720,32 BOULEVARD DES ALLIES 91720 MAISSE,"STEPHANE RAYMOND FRESNEAU, CASSANDRE LE SPEGAGNE",94156059100013,17
2025-02-28,Restaurant traditionnel,CHARLEY,CHARLEY,Chailly-En-Biere,77930,19 RUE CHAMAILLARD 77930 CHAILLY-EN-BIERE,CHARLEY LAMOTTE,48431755700045,17
2025-02-24,Bar / debit de boissons,LE GAULOIS SUR LE GRILL,MELCHIOR,Barbizon,77630,64 GRANDE RUE 77630 BARBIZON,", ",94136977900017,17
2025-02-21,Restauration rapide,STEFFEN BOSSOTO,STEFFEN BOSSOTO,Melun,77000,9 RUE PAUL VALERY 77000 MELUN,STEFFEN ANTHONY BOSSOTO,94100541500018,17
2025-02-15,Restaurant traditionnel,LALIA TOURE,LALIA TOURE,Melun,77000,BAT B 4 RUE DU CAPITAINE BASTIEN 77000 MELUN,LALIA TOURE,90932288500023,17
2025-02-14,Restaurant traditionnel,BORGINI FOOD,BORGINI FOOD,Melun,77000,34 RUE SAINT ETIENNE 77000 MELUN,FEVZI KOC,94092319600015,17
2025-02-03,Boulangerie-patisserie,LE PETRIN D'OR,LE PETRIN D'OR,Moissy-Cramayel,77550,510 AVENUE DE L'EUROPE 77550 MOISSY-CRAMAYEL,EL MOSTAFA BENTEFRIT,94061331800010,18
2025-02-01,Restauration rapide,C.K.,C.K.,Avon,77210,CENTRE COMMERCIAL DE LA BUTTE MONTCEAU AVENUE DE NEMOURS 77210 AVON,KADRI CELIK,94014266400017,18
2025-02-01,Restauration rapide,GRILLADES MAMA,GRILLADES MAMA,Avon,77210,ET 3 TER AVENUE DU GENERAL DE GAULLE 3 B AVENUE DU GENERAL DE GAULLE 77210 AVON,ABDALLAH BESSNOUN,94009242200010,18
2025-02-01,Restauration rapide,LIUBA FERARU (VIVIEN),LIUBA FERARU (VIVIEN),Melun,77000,18 RUE DE LA FONTAINE LA REINE 77000 MELUN,LIUBA FERARU,94017522700013,18
2025-02-01,Restauration rapide,PIZZA ZZ,PIZZA ZZ,Cesson,77240,6 RUE DE LA GARE 77240 CESSON,WASSIM ZRIDETTE,94038996800014,18
2025-02-01,Boulangerie-patisserie,LE FOURNIL DE MOISSY,LE FOURNIL DE MOISSY,Moissy-Cramayel,77550,258 AVENUE PHILIPPE BUR 77550 MOISSY-CRAMAYEL,MONJI LHIOUI,94096780500018,18
2025-01-30,Restaurant traditionnel,L'OREE DES SABLONS,LES BLASONS,Fontainebleau,77300,32 RUE DE FRANCE 77300 FONTAINEBLEAU,,94030747300014,18
2025-01-30,Restaurant traditionnel,07 ST SUSH',07 ST SUSH',Dammarie-Les-Lys,77190,249 QUAI VOLTAIRE 77190 DAMMARIE-LES-LYS,MOHAMED KARAMOKO DIAKITE KABA,94031288700026,18
2025-01-30,Restauration rapide,SUCRERIZ,SUCRERIZ,Melun,77000,2 PLACE DE LA PREFECTURE 77000 MELUN,TONNY CASIMIR DOUCE,94045009100019,18
2025-01-30,Restaurant traditionnel,07 ST SUSH',07 ST SUSH',Melun,77000,5 RUE ALCIDE DE GASPERI 77000 MELUN,MOHAMED KARAMOKO DIAKITE KABA,94031288700018,18
2025-01-27,Traiteur,LES PEPITES UNLIMITED,LES PEPITES UNLIMITED,Barbizon,77630,1 B RUE JEAN BAPTISTE GASSIES 77630 BARBIZON,CELINE RIVIER,83109210100037,18
2025-01-27,Restauration rapide,ROZO,ROZO,Chartrettes,77590,33 RUE DU PORT 77590 CHARTRETTES,,94037928200012,18
2025-01-27,Restauration rapide,ZRILAH,ZRILAH,Moissy-Cramayel,77550,242 AVENUE PHILIPPE BUR 77550 MOISSY-CRAMAYEL,ZEYNEB ZRIDETTE,93915065200021,18
2025-01-24,Restauration rapide,CAFE DE LA GARE,LES DEUX FRERES,Melun,77000,11 AVENUE GALLIENI 77000 MELUN,IBRAHIM GULSEN,94029817700012,18
2025-01-23,Restaurant traditionnel,CHRISTOPHE DIERCKX,CHRISTOPHE DIERCKX,Avon,77210,14 RUE DES BOULEAUX 77210 AVON,CHRISTOPHE DIERCKX,80336203700035,18
2025-01-22,Boulangerie-patisserie,MILLE DES LYS,REGENCE GOURMANDE (MILLE DES LYS),Chailly-En-Biere,77930,5 ROUTE DE PARIS 77930 CHAILLY-EN-BIERE,"ARNAULD MICHEL RUFFIN, EMERIC RUFFIN",94003761700013,18
2025-01-21,Restauration rapide,THE LOOP,THE LOOP (THE LOOP),Fontainebleau,77300,144 RUE GRANDE 77300 FONTAINEBLEAU,ARTHUR CAMILLE CHARNEAU,94036101700012,18
2025-01-20,Restaurant traditionnel,MANGAL GRILL,MANGAL GRILL,Dammarie-Les-Lys,77190,824 AVENUE DU LYS 77190 DAMMARIE-LES-LYS,CIHAN TUMER,94035541500016,18
2025-01-20,Restaurant traditionnel,L'INTERNATIONAL,L'INTERNATIONAL,Melun,77000,3 T RUE DE PONTHIERRY 77000 MELUN,"KENZA PATRICIA AICHA FENINICHE, MOUNA MOHAMED KASSIM",94114191300017,18
2025-01-18,Restauration rapide,BAI GRILLADE,BAI GRILLADE,Dammarie-Les-Lys,77190,101 RUE CHARLES DE GAULLE 77190 DAMMARIE-LES-LYS,CAROLE MAGALIE BABILLON,93979243800011,18
2025-01-15,Restauration rapide,FRANCKY BETOR,FRANCKY BETOR,Melun,77000,6 RUE DU CAPITAINE BASTIEN 77000 MELUN,FRANCKY BETOR,89443618700021,18
